Oil: Production*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Growth rate per annum;;Share
Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2023;2013-23;2023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;43,9;48,2;52,7;57,1;62,2;70,1;75,2;86,7;100,3;94,4;81,6;75,3;75,6;75,2;86,3;83,3;75,4;74,6;78,6;83,8;85,7;85,7;90,3;95,1;92,6;92,8;93,2;97,2;102,3;106,7;111,9;115,5;120,7;125,1;121;125,1;126,2;133;140,6;145,2;142,7;151;155,7;153,2;153,2;160,6;170,1;182,9;195,4;209,8;216,1;218,8;236,6;257,7;263,5;252;266,6;273,9;277,9;1,43%;3,60%;6,20%
Mexico;18,1;18,5;20,5;21,9;23;24,2;24,1;25,1;25,9;32,4;40,2;44,8;54,4;66,7;80,7;107,2;128;151;147,1;148,3;145,9;136,9;143;142,7;143,1;145,2;152,8;153;153,3;154,2;150,2;162,4;169,6;173,5;165,5;170,3;175,9;177,8;188,2;190;186,5;182,5;172,2;156,9;146,7;145,6;144,5;143,9;141,8;137,1;127,5;121,4;109,5;102,3;94,9;95,1;96,4;97,6;102,5;5,02%;-3,20%;2,30%
US;427,7;454,5;484,2;502,9;511,4;533,5;525,9;527,9;514,7;491,4;469,8;458;462,8;484,2;477;480,2;478,8;480,7;483;496,1;498,7;482,3;467,3;459,1;429;416,6;422,9;413;397;387,5;383,6;382,1;380;368,1;352,6;347,6;344,5;341,9;332,6;325,4;309;304,5;305;302,2;322,6;333,1;346,4;395,3;448,6;524,6;567;542,7;574,2;669,6;751;713,3;715,9;762,1;827,1;8,54%;6,30%;18,30%
Total North America;489,6;521,2;557,4;581,9;596,5;627,7;625,2;639,7;640,8;618,2;591,5;578,1;592,7;626,1;643,9;670,7;682,2;706,3;708,6;728,3;730,2;704,9;700,6;696,8;664,7;654,5;668,9;663,2;652,6;648,4;645,7;659,9;670,3;666,7;639,1;643;646,5;652,7;661,4;660,6;638,2;638;632,9;612,4;622,4;639,4;661,1;722;785,8;871,5;910,6;882,9;920,3;1029,6;1109,4;1060,4;1079;1133,6;1207,5;6,52%;4,40%;26,80%
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;13,8;14,6;16;17,5;18,1;20;21,6;22,2;21,6;21,1;20,3;20,4;22,1;23,2;24,3;25,3;25,7;25,6;25,7;25,1;24,2;22,9;22,6;23,7;24,2;25,4;25,9;29;31,1;34,5;37,5;40,8;43,4;44;41,7;41,3;43,9;43,3;43,1;41;39,4;39,4;38,2;37,8;34;33,3;31,2;30,8;30,2;29,8;30;28,6;27,3;27,6;33,8;33,7;37,6;45,4;51,2;12,98%;5,40%;1,10%
Brazil;5;6,2;7,8;8,5;9,3;8,8;9,2;9;9,2;9,6;9,3;9,1;8,7;8,7;9;9,9;11,5;14,1;17,8;25;29,5;31;30,8;30,1;32,2;34,1;33,7;34,2;34,9;36,2;37,5;42,5;45,6;52,7;59,5;67,1;70,2;78,6;81,5;80,9;89;94;95,4;99,1;106;111,6;114;112,4;110,2;122,5;132,2;136,7;142,6;140,6;151,2;159,3;156,9;163,2;183,7;12,55%;5,20%;4,10%
Colombia;10,7;10,4;10,1;9,3;11,2;11,8;11,7;10,6;9,9;9,1;8,5;7,9;7,5;7,1;6,7;6,8;7,3;7,6;8,2;9;9,5;16,1;20,4;20;21,4;23,4;22,6;23,3;24;24,1;31;33,4;34,8;40,4;43,7;36,3;31,8;30,4;28,5;27,9;27,7;27,8;28;31;35,3;41,4;48,2;49,9;53,2;52,2;53;46,8;45;45,6;46,7;41,3;38,8;39,7;40,9;3,05%;-2,60%;0,90%
